class_name,kind,dataset_id,item_key,review_verdict,answer,class_box_count,label_count,source_image_path,annotation_path,updated_at,reviewed_at,negative_reason
fire,negative,loop:finetune_v2,images/test/event_feedback_000539_smoke_782753e067c63d47.jpg,negative,NO,0,0,/home/admin1/jgzj/.runtime/yolo_loop/datasets/finetune_v2/images/test/event_feedback_000539_smoke_782753e067c63d47.jpg,.runtime/yolo_label_review/manual_annotations_v1/c6/c6825395693ce915597e36a2fe44d587eec4bdf117f9ca7c1c8560aea36fc67c.json,2026-07-24T08:37:25.333Z,2026-07-24T08:37:25.333Z,manual_negative
fire,negative,loop:finetune_v2,images/test/event_feedback_000602_smoke_949958e072be12dd.jpg,negative,NO,0,0,/home/admin1/jgzj/.runtime/yolo_loop/datasets/finetune_v2/images/test/event_feedback_000602_smoke_949958e072be12dd.jpg,.runtime/yolo_label_review/manual_annotations_v1/a7/a7ad6b307f216a8ae77701b5e2043896d9468ff5c4e73bcf021da8eb986398bb.json,2026-07-24T08:38:27.821Z,2026-07-24T08:38:27.821Z,manual_negative
fire,negative,loop:finetune_v2,images/test/event_feedback_001411_smoke_a1692b1b0c7f9a92.jpg,pass,YES,0,1,/home/admin1/jgzj/.runtime/yolo_loop/datasets/finetune_v2/images/test/event_feedback_001411_smoke_a1692b1b0c7f9a92.jpg,.runtime/yolo_label_review/manual_annotations_v1/7e/7ea4e13565d45d737f79e80f2d60b970ed9e7af43c7ab78dd7450746a1049052.json,2026-07-24T08:40:26.587Z,2026-07-24T08:40:26.587Z,pass_other_class_or_empty
fire,negative,loop:finetune_v2,images/test/event_feedback_001413_smoke_a1692b1b0c7f9a92.jpg,pass,YES,0,1,/home/admin1/jgzj/.runtime/yolo_loop/datasets/finetune_v2/images/test/event_feedback_001413_smoke_a1692b1b0c7f9a92.jpg,.runtime/yolo_label_review/manual_annotations_v1/8a/8add6a28bc521d5bdcfdf4d5d980024b50478464b336b1885cce617cb2233814.json,2026-07-24T08:40:35.637Z,2026-07-24T08:40:35.637Z,pass_other_class_or_empty
fire,negative,loop:finetune_v2,images/test/event_feedback_005653_smoke_184e873fae1c4c65.jpg,negative,NO,0,0,/home/admin1/jgzj/.runtime/yolo_loop/datasets/finetune_v2/images/test/event_feedback_005653_smoke_184e873fae1c4c65.jpg,.runtime/yolo_label_review/manual_annotations_v1/db/dbc710756c8a2b61e704060c4cddb3b568d15a437cb1a29a33fa1f42aca0d643.json,2026-07-24T08:41:29.743Z,2026-07-24T08:41:29.743Z,manual_negative
fire,negative,loop:finetune_v2,images/test/event_feedback_011825_smoke_562637396cd4762a.jpg,pass,YES,0,1,/home/admin1/jgzj/.runtime/yolo_loop/datasets/finetune_v2/images/test/event_feedback_011825_smoke_562637396cd4762a.jpg,.runtime/yolo_label_review/manual_annotations_v1/08/088e77a1eb5bbe7668fcc79948e2bc3da26d773ef15c65651800606a866d812d.json,2026-07-24T08:50:45.299Z,2026-07-24T08:50:45.299Z,pass_other_class_or_empty
fire,negative,loop:finetune_v2,images/test/event_feedback_013929_smoke_8df6336bff1a9225.jpg,pass,YES,0,1,/home/admin1/jgzj/.runtime/yolo_loop/datasets/finetune_v2/images/test/event_feedback_013929_smoke_8df6336bff1a9225.jpg,.runtime/yolo_label_review/manual_annotations_v1/4b/4b896c601d22a3630277b8282612c536916b02ed73295a4f8569be78de311f86.json,2026-07-24T09:00:50.205Z,2026-07-24T09:00:50.205Z,pass_other_class_or_empty
fire,negative,loop:finetune_v2,images/test/event_feedback_013933_smoke_255f229c09deff1f.jpg,pass,YES,0,1,/home/admin1/jgzj/.runtime/yolo_loop/datasets/finetune_v2/images/test/event_feedback_013933_smoke_255f229c09deff1f.jpg,.runtime/yolo_label_review/manual_annotations_v1/be/be59b8b433edee70ea40e3545d3ebfacc3b9957bb2bcd217313f58d8dc1393f3.json,2026-07-24T09:01:13.978Z,2026-07-24T09:01:13.978Z,pass_other_class_or_empty
fire,negative,loop:finetune_v2,images/test/event_feedback_016158_smoke_ca04bf94be38688e.jpg,negative,NO,0,0,/home/admin1/jgzj/.runtime/yolo_loop/datasets/finetune_v2/images/test/event_feedback_016158_smoke_ca04bf94be38688e.jpg,.runtime/yolo_label_review/manual_annotations_v1/97/97dfc044f85ba5cf3f94eb87847b6e7675bfbdf179947f3487ee530903bb1b6d.json,2026-07-24T09:03:40.051Z,2026-07-24T09:03:40.051Z,manual_negative
fire,negative,loop:finetune_v2,images/test/event_feedback_016688_smoke_da52c43c57220e8d.jpg,negative,NO,0,0,/home/admin1/jgzj/.runtime/yolo_loop/datasets/finetune_v2/images/test/event_feedback_016688_smoke_da52c43c57220e8d.jpg,.runtime/yolo_label_review/manual_annotations_v1/3d/3d912af7a779d27882eea6726161098046bea9869026782dac479c53986259f7.json,2026-07-24T09:04:17.065Z,2026-07-24T09:04:17.065Z,manual_negative
