class_name,kind,dataset_id,item_key,review_verdict,answer,class_box_count,label_count,source_image_path,annotation_path,updated_at,reviewed_at
fire,positive,loop:finetune_v2,images/test/event_feedback_011751_fire_0c26396306448986.jpg,pass,YES,1,2,/home/admin1/jgzj/.runtime/yolo_loop/datasets/finetune_v2/images/test/event_feedback_011751_fire_0c26396306448986.jpg,.runtime/yolo_label_review/manual_annotations_v1/26/26cdd9ff47aff28a3bb3e07fba3fe42d2866779cdeede6e8237057d7d7b23b84.json,2026-07-24T08:43:45.900Z,2026-07-24T08:43:45.900Z
fire,positive,loop:finetune_v2,images/test/event_feedback_011759_fire_8b61acb08330ce7a.jpg,pass,YES,1,2,/home/admin1/jgzj/.runtime/yolo_loop/datasets/finetune_v2/images/test/event_feedback_011759_fire_8b61acb08330ce7a.jpg,.runtime/yolo_label_review/manual_annotations_v1/61/6113c08d4931734490005448e13fc5c51ff71c1124f6ee3d7e185ce4033af19a.json,2026-07-24T08:44:30.011Z,2026-07-24T08:44:30.011Z
fire,positive,loop:finetune_v2,images/test/event_feedback_011778_smoke_b4b56ecdd099d0eb.jpg,pass,YES,1,2,/home/admin1/jgzj/.runtime/yolo_loop/datasets/finetune_v2/images/test/event_feedback_011778_smoke_b4b56ecdd099d0eb.jpg,.runtime/yolo_label_review/manual_annotations_v1/24/2430acc516d59667f473da4e49f2b60dfdc9af83ad0403b1da9382ea04d2f6e4.json,2026-07-24T08:45:54.606Z,2026-07-24T08:45:54.606Z
fire,positive,loop:finetune_v2,images/test/event_feedback_011824_smoke_ef50338d409d78ae.jpg,pass,YES,1,2,/home/admin1/jgzj/.runtime/yolo_loop/datasets/finetune_v2/images/test/event_feedback_011824_smoke_ef50338d409d78ae.jpg,.runtime/yolo_label_review/manual_annotations_v1/a1/a1c30a2d89677c6fcfaeec5d91b44d71d7099b7b3ea9c2a8da3f5645185e6385.json,2026-07-24T08:50:30.959Z,2026-07-24T08:50:30.959Z
fire,positive,loop:finetune_v2,images/test/event_feedback_011828_smoke_c03c47bf1d72ea0c.jpg,pass,YES,1,2,/home/admin1/jgzj/.runtime/yolo_loop/datasets/finetune_v2/images/test/event_feedback_011828_smoke_c03c47bf1d72ea0c.jpg,.runtime/yolo_label_review/manual_annotations_v1/cd/cd3503b62eaebe9836a7e866b8fcf794b1b5183d14a75c295d21d33de8a09532.json,2026-07-24T08:51:10.828Z,2026-07-24T08:51:10.828Z
fire,positive,loop:finetune_v2,images/test/event_feedback_011870_fire_6c992e4471294fd7.jpg,pass,YES,1,2,/home/admin1/jgzj/.runtime/yolo_loop/datasets/finetune_v2/images/test/event_feedback_011870_fire_6c992e4471294fd7.jpg,.runtime/yolo_label_review/manual_annotations_v1/59/59e15ed44bd731db12b6d654b7c1f83eda7ff6cb8a630a629c64d81772977f44.json,2026-07-24T08:55:48.868Z,2026-07-24T08:55:48.868Z
fire,positive,loop:finetune_v2,images/test/event_feedback_011889_fire_47e60017b7ae77fe.jpg,pass,YES,1,1,/home/admin1/jgzj/.runtime/yolo_loop/datasets/finetune_v2/images/test/event_feedback_011889_fire_47e60017b7ae77fe.jpg,.runtime/yolo_label_review/manual_annotations_v1/96/962554f4ce035e0fdd6c309b50900f0298e2a8ad1a55ec70894c31ce6968306f.json,2026-07-24T08:57:27.028Z,2026-07-24T08:57:27.028Z
fire,positive,loop:finetune_v2,images/test/event_feedback_011906_fire_e60826835d42e678.jpg,pass,YES,1,1,/home/admin1/jgzj/.runtime/yolo_loop/datasets/finetune_v2/images/test/event_feedback_011906_fire_e60826835d42e678.jpg,.runtime/yolo_label_review/manual_annotations_v1/1f/1f019e7629f98227cb3857bad1c4def7ef87d3c3e1371e3711d7449c892a793c.json,2026-07-24T08:58:47.357Z,2026-07-24T08:58:47.357Z
fire,positive,loop:finetune_v2,images/train/event_feedback_011738_smoke_d08a90f970d65196.jpg,pass,YES,1,2,/home/admin1/jgzj/.runtime/yolo_loop/datasets/finetune_v2/images/train/event_feedback_011738_smoke_d08a90f970d65196.jpg,.runtime/yolo_label_review/manual_annotations_v1/eb/eb1edd7ee9f749a09872d8b0061782a8bd3e14d0bfd8c660d645d8f6e177ddd9.json,2026-07-24T08:42:50.019Z,2026-07-24T08:42:50.019Z
fire,positive,loop:finetune_v2,images/train/event_feedback_011739_fire_dbf1ac6190f8f72d.jpg,pass,YES,1,2,/home/admin1/jgzj/.runtime/yolo_loop/datasets/finetune_v2/images/train/event_feedback_011739_fire_dbf1ac6190f8f72d.jpg,.runtime/yolo_label_review/manual_annotations_v1/83/83500d6bb886d2120edd9857be3a33d7eabe774534270e96e11ffa73a6730b48.json,2026-07-24T08:42:58.301Z,2026-07-24T08:42:58.301Z
fire,positive,loop:finetune_v2,images/train/event_feedback_011741_fire_8436d64dffeb6a3c.jpg,pass,YES,1,2,/home/admin1/jgzj/.runtime/yolo_loop/datasets/finetune_v2/images/train/event_feedback_011741_fire_8436d64dffeb6a3c.jpg,.runtime/yolo_label_review/manual_annotations_v1/dc/dcc060aed4284ee5668de75e1b35b22ebf29c0d1637613e80a6a90790b2fa7ba.json,2026-07-24T08:43:11.350Z,2026-07-24T08:43:11.350Z
fire,positive,loop:finetune_v2,images/train/event_feedback_011744_fire_2d0aca22e19524af.jpg,pass,YES,1,2,/home/admin1/jgzj/.runtime/yolo_loop/datasets/finetune_v2/images/train/event_feedback_011744_fire_2d0aca22e19524af.jpg,.runtime/yolo_label_review/manual_annotations_v1/e2/e2f4219279dd5a09abafb00e1f51aa78ce09cac50651b95439f757f2037a04af.json,2026-07-24T08:43:19.754Z,2026-07-24T08:43:19.754Z
fire,positive,loop:finetune_v2,images/train/event_feedback_011749_fire_e84f6d55e0c07ecf.jpg,pass,YES,1,2,/home/admin1/jgzj/.runtime/yolo_loop/datasets/finetune_v2/images/train/event_feedback_011749_fire_e84f6d55e0c07ecf.jpg,.runtime/yolo_label_review/manual_annotations_v1/9e/9e14d3cd71f07f82b3021d1dcd090e6366cf7db05d2ecca1f9dab91448fdc201.json,2026-07-24T08:43:36.833Z,2026-07-24T08:43:36.833Z
fire,positive,loop:finetune_v2,images/train/event_feedback_011753_fire_2ee6e7342e4e5ec0.jpg,pass,YES,1,2,/home/admin1/jgzj/.runtime/yolo_loop/datasets/finetune_v2/images/train/event_feedback_011753_fire_2ee6e7342e4e5ec0.jpg,.runtime/yolo_label_review/manual_annotations_v1/da/da7b859b1e2b39575b44de623278e4342783d3a701620c25182e0ea0fff9b394.json,2026-07-24T08:43:55.670Z,2026-07-24T08:43:55.670Z
fire,positive,loop:finetune_v2,images/train/event_feedback_011756_fire_d887e5ddc9994956.jpg,pass,YES,1,2,/home/admin1/jgzj/.runtime/yolo_loop/datasets/finetune_v2/images/train/event_feedback_011756_fire_d887e5ddc9994956.jpg,.runtime/yolo_label_review/manual_annotations_v1/b6/b6caad53d216e6fcf32f37617299f5a93072e33c36a4bef54585d09b0b29a54b.json,2026-07-24T08:44:20.288Z,2026-07-24T08:44:20.288Z
